オノマトペ,粘性感,摩擦感,凸凹感,好感度,弾力,湿り気,硬さ
さらさら,1.222222222,2.111111111,1.555555556,6.666666667,2.333333333,1.222222222,4
すべすべ,1.666666667,1.666666667,1.333333333,6.333333333,2.333333333,2.333333333,4.111111111
つるつる,2.222222222,2.111111111,1.111111111,5.888888889,1.666666667,3.222222222,4.888888889
でこぼこ,2,4.111111111,6.777777778,4.333333333,2.222222222,2.111111111,5.333333333
がさがさ,1.555555556,5.111111111,5,2.777777778,1.888888889,1.666666667,5
ざらざら,2.111111111,5.666666667,5.666666667,3.555555556,1.888888889,2,5.222222222
ふわふわ,4,2.333333333,3.666666667,6.222222222,4.111111111,2.666666667,1.666666667
ぶわぶわ,1.888888889,3.777777778,4,3.666666667,4.111111111,3.666666667,2.444444444
ぶよぶよ,3.888888889,3.222222222,3.333333333,3.444444444,4.666666667,4.333333333,2.222222222
ぷるぷる,4,2.666666667,2.666666667,5.777777778,5.111111111,5.333333333,2.222222222
ぐにゃぐにゃ,4.888888889,2.777777778,3.333333333,4,4.777777778,4.333333333,2.222222222
ふかふか,2,2.333333333,2.777777778,5.777777778,4.111111111,2,1.555555556
ふにゃふにゃ,3.555555556,2.777777778,2.888888889,4.222222222,4.333333333,3.333333333,2.111111111
むちむち,4.555555556,2.777777778,2.222222222,4.444444444,5.222222222,4.333333333,3
ごつごつ,2.444444444,5,6.222222222,3.666666667,2.222222222,1.888888889,5.888888889
ごわごわ,2.333333333,5.444444444,5.444444444,3.333333333,2.444444444,1.888888889,4.777777778
かちかち,1.333333333,2.777777778,2.666666667,3.888888889,1.777777778,1.888888889,6.333333333
べたべた,6.111111111,4.666666667,2.777777778,2.888888889,3.444444444,5.333333333,3.222222222
べとべと,6.555555556,4.333333333,2.888888889,2.555555556,3.888888889,5.444444444,3.444444444
べちょべちょ,5.777777778,3.333333333,2.666666667,2.555555556,3.666666667,6.111111111,3.222222222
びしょびしょ,3.777777778,2.888888889,2.333333333,2.555555556,2.777777778,6.666666667,3.444444444
びちゃびちゃ,4.666666667,3.111111111,2.555555556,2.555555556,2.888888889,6.888888889,3.444444444
ぐしょぐしょ,4.666666667,3,3,2.444444444,3.444444444,6.666666667,3.111111111
じくじく,4.111111111,3.777777778,3.444444444,2.555555556,2.777777778,4.777777778,3.777777778
ぼそぼそ,2.333333333,4.444444444,3.777777778,2.888888889,2.888888889,2.666666667,4.111111111
ぽそぽそ,2.555555556,3.666666667,3.666666667,3.111111111,2.888888889,2.555555556,3.666666667
かさかさ,1.666666667,4.333333333,4,2.888888889,2.111111111,1.333333333,5.111111111
ぱさぱさ,1.444444444,4.111111111,3.666666667,2.444444444,2.444444444,1.555555556,4.444444444
ねばねば,6.666666667,3.888888889,2.666666667,3.666666667,4.111111111,5,3.222222222
ねちねち,5.333333333,3.111111111,2.666666667,2.666666667,4.666666667,4.888888889,2.888888889
ねとねと,5.555555556,4,2.777777778,2.777777778,4.777777778,5.111111111,2.888888889
ねちゃねちゃ,5.777777778,3.222222222,2.777777778,2.555555556,4.555555556,5.666666667,2.666666667
ぬめぬめ,5.888888889,3.666666667,2.777777778,2.777777778,4.333333333,6,2.777777778
ぬるぬる,5.666666667,3.333333333,2.222222222,3.222222222,3.888888889,6,2.555555556
にゅるにゅる,5.222222222,3.222222222,2.888888889,3.777777778,4.111111111,5.888888889,2.555555556
ぎとぎと,5,4.444444444,3.333333333,2.444444444,3.777777778,5,4.111111111
